LapTimeSec,Compound,TrackName,Driver,Team,TireAge,TireAgeSq,RaceLapNumber,TrackTemp,AirTemp,Humidity,WindSpeed,GapToCarAhead,DRS_Available,CircuitLength,NumberOfCorners,RaceID,LapNumber,PitLossSec,TotalRaceLaps,TyreHealth,TyreTemp_C,Psi_T,SlidingProxy,Fz_N,StintNumber
100.732,SOFT,Sakhir,BOT,Alfa Romeo,6,36,3,29.0,23.8,27.0,0.5,0.464,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.9371279388388548,70.68600951986046,1.0,2.7441151731351416,20352.48061201303,1
100.638,SOFT,Sakhir,HUL,Aston Martin,3,9,3,29.0,23.8,27.0,0.5,0.763,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.9487657265975218,66.69684897600031,1.0,2.1761035777703426,20435.64345045737,1
100.887,SOFT,Sakhir,STR,Aston Martin,3,9,3,29.0,23.8,27.0,0.5,0.683,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.941321210738533,69.53024324810588,1.0,2.668123838509356,20368.462893370095,1
101.785,MEDIUM,Sakhir,NOR,McLaren,3,9,3,29.0,23.8,27.0,0.5,0.909,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.9857380814020716,60.79265066288378,1.0,1.3762428431904477,20339.054919066803,1
100.183,SOFT,Sakhir,ZHO,Alfa Romeo,3,9,3,29.0,23.8,27.0,0.5,0.236,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.9409734442251142,69.72442113625166,1.0,2.210813356237814,20641.160017864877,1
101.668,SOFT,Sakhir,LAT,Williams,3,9,3,29.0,23.8,27.0,0.5,0.829,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.9354537190042882,71.28644959601888,1.0,3.3637869316796967,20437.002485787165,1
101.711,MEDIUM,Sakhir,RIC,McLaren,3,9,3,29.0,23.8,27.0,0.5,0.759,1,5.412,15,2022_Bahrain Grand Prix,3,22.5,57,0.965472562551255,76.4791468304455,1.0,3.9700050741145,20306.478359256456,1
98.414,SOFT,Sakhir,LEC,Ferrari,4,16,4,28.8,23.8,29.0,0.4,10.0,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.9251994812687804,72.36828817487505,1.0,2.2782540575962575,21075.917472036675,1
98.566,SOFT,Sakhir,VER,Red Bull Racing,7,49,4,28.8,23.8,29.0,0.4,1.278,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.8990513782238101,81.10852782226385,1.0,2.468466055021058,21155.62927928994,1
98.923,SOFT,Sakhir,SAI,Ferrari,7,49,4,28.7,23.8,29.0,0.4,2.231,1,5.412,15,2022_Bahrain Grand Prix,4,22.5,57,0.9175153537036894,74.26072407618543,1.0,2.0505060893285862,21243.402950952193,1
